nombre,lugar,latitud,longitud,texto
SENER,Getxo,43.334.995, -3.007836,"Servicios integrales de ingeniería y consultoría técnica. Desarrollan soluciones de alta tecnología para la industria aereoespacial, transporte, naval, energética y de procesos."
P4Q,Galdakao,43.236.066,-3.012.357,Diseño y fabricación de dispositivos electrónicos IoT (Internet of Things)
VICINAY MARINE,Bilbao,43.306.141,-2.981.209,Fabricación de cadenas y accesorios para la industria. Sus productos están diseñados para soportar condiciones extremas.
ORMAZABAL,Igorre,43.170.615,-2.774.804,"Soluciones avanzadas para la distribución, eficiencia y seguridad de las redes eléctricas. Están presentes en más de 50 países."
ARTECHE,Atxondo,43.340.756,-2.861.792,"Especializada en soluciones de medida, protección y control para sistemas eléctricos. Cuenta con más de 20 centros alrededor del mundo, siete de ellos de I+D."
PROGENIKA,Derio,43.295.303,-2.868.050,Compañía biotecnológica especializado en el desarrollo de soluciones de diagnóstico genético.
FANOX,Derio,43.297.348,-2.867.841,Diseño y fabricación de equipos de protección y control para baja y media tensión eléctrica respondiendo a las necesidades de la transición energética. Sus productos se distribuyen por todo el mundo.
BIOLAN,Zamudio,43.300.298,-2.862.867,Desarrollo y fabricación de biosensores enzimáticos y diagnósticos genéticos y moleculares para medir la calidad y seguridad alimentaria y diagnósticar enfermedades.
TUBACEX,Amurrio,43.035.189, -3.001326,Referente mundial en la fabricación de tubos de acero inoxidable y aleaciones de níquel. Cuentan con 24 plantas productivas y centros de servicio en cuatro continentes.
EGAMASTER,Vitoria-Gasteiz,42.845.250, -2.734590,"Fabricante de herramientas industriales de calidad premium. Sus productos se emplean en la industria aeroespacial, militar, automoción, ferroviaria, petrolera, gasística y minera."
Cegasa,Vitoria-Gasteiz,42.871.337,-2.664.496,"Líder en el diseño y desarrollo de baterías, acumuladores y soluciones de energía portátil. Cuenta con mas de cien distribuidores a nivel mundial."
LORAMENDI,Vitoria-Gasteiz,42.862.223,-2.714.259,"Especialista en soluciones de ingeniería para la fundición y la fabricación de moldes en los sectores de la automoción, el ferrocarril y la industria de transporte de grandes cargas."
LANTEK,Vitoria-Gasteiz,42.914.540,-2.661.320,Ofrece soluciones de software para la industria de la chapa y el metal. Lidera la transformación digital de este sector gracias a los 4.500 modelos de máquinas implantadas en más de 1.200 empresas.
GÁMIZ,Campezo,42.670.412,-2.359.094,Producción de madera de alta calidad e innovación para la industria del mueble y la construcción. Sus productos están presentes en proyectos arquitectónicos internacionales.
ONA,Durango,43.162.660,-2.621.838,Fabricante de máquinas de electroerosión por hilo y penetración. Su tecnología de mecanizado de precisión está presentes en 60 países y en más de 15.000 máquinas por todo el mundo.
DRAXTON,Atxondo,43.130.363,-2.588.410,Especializada en la producción de componentes fundidos y mecanizados para la industria automotriz. Líderes mundiales en la fabricación de horquillas para frenos de disco.
COPRECI,Aretxabaleta,43.030.010,-2.504.150,Desarrollo de componentes y sistemas avanzados para electrodomésticos. Más 400 millones de cocinas en el mundo cuentan con sus productos.
FAGOR AUTOMATION,Arrasate,43.055.170,-2.492.540,Diseño y fabricación de productos de automatización y control de maquinaria. Se distingue por el desarrollo de software y por ofrecer soluciones personalizadas e innovadoras.
JMA,Arrasate,43.065.300,-2.478.610,Líder mundial de cerrajería. Expertos en la fabricación de llaves altamente innovadoras que les hacen únicos en el sector.
EIKA,Etxebarria,43.248.150,-2.483.120,Fabricación de accesorios para electrodomésticos y de aislantes microporosos. Más del 40 % de las vitrocerámicas del mercado incorporan sus componentes.
ETXETAR,Elgoibar,43.227.503,-2.405.107,"Sistemas de mecanizado para componentes de los sectores automotriz, industria pesada y energía. Ofrece soluciones de ingeniería para sistemas de producción que requieren un alto valor tecnológico y grandes volúmenes de producción."
Alcorta,Elgoibar,43.209.343,-2.407.915,"Soluciones integrales, personalizadas y avanzadas en forja en acero y aluminio para el sector de la automoción. Trabajar para marcas como BMW, Ferrari, Mercedes, Lamborghini o Volvo."
DANOBAT,Elgoibar,43.228.290,-2.395.110,Diseño y fabricación de máquina herramienta y sistemas de producción. Referente mundial en rectificadoras y tornos de alta precisión. Está presente comercialmente en más de 40 países.
SORALUCE,Bergara,43.151.566,-2.410.255,"Líder en la fabricación de máquina herramienta de alta precisión como fresadoras, mandrinadoras y centros de mecanizado."
GOIZPER,Antzuola,43.094.318,-2.378.511,"Tres unidades de negocio: Industrial, Pulverización y Biotechnology. Son líderes en transmisiones de potencia, expertos mundiales en pulverizadores y especialistas en biocidas."
BELLOTA AGRISOLUTIONS,Legazpi,43.057.493,-2.332.063,Líder global en la fabricación de componentes y herramientas agrícolas
AMPO,Idiazabal,43.023.470,-2.230.190,"Diseño y fabricación de válvulas y componentes de fundición de acero inoxidable y alta aleación para los sectores petroquímico, energético, eléctrico y minero. Tienen presencia en más de 60 países."
INGETEAM,Beasain,43.044.618,-2.210.054,Soluciones innovadoras y sostenibles en la conversión de energía eléctrica. Está formada por más de 3.500 personas en 15 países.
IRIZAR FORGE,Lazkao,43.039.723, -2.188630,Líder en la fabricación de componentes forjados de alta resistencia para la industria automotriz y de maquinaria pesada. 
ORKLI,Ordizia,43.055.212,-2.166.704,"Expertos en seguridad, salud y confort para el hogar y entornos laborales. Ofrecen soluciones de energía solar, de suelo radiante y refrescante, de regulación de eficiencia energética y de domótica inteligente."
PASABAN,Tolosa,43.124.936, -2.115187,"Diseño y fabricación de maquinaria personalizada de alta tecnología para la industria de conversión de papel, cartón, papeles especiales y papeles de seguridad."
ORBINOX,Anoeta,43.160.262,-2.067.929,"Diseño y fabricación de válvulas industriales de guillotina, compuertas y equipos hidromecánicos. Tiene seis plantas de producción en Europa, América y Asia y presencia en más de 70 países."
GRAPHENEA,Donostia,43.292.141, -1.986681,Líder mundial en producción de grafeno Sus obleas personalizada se distribuyen en más de 60 países.
IKUSI,Donostia,43.295.780, -1.980060,"Especialista en servicios de integración, ingeniería y desarrollo tecnológico para la transformación digital. Cuenta con más de 700 empleados altamente cualificados."
WAVEGARDEN,Donostia,43.326.200, -1.972360,Pionera en la creación de instalaciones de olas artificiales para el surf. Su tecnología permite generar hasta 1000 olas por hora en un entorno controlado.
Salto,Oiartzun,43.317.549,-1.868.181,Diseño y fabricación de sistemas inteligentes de gestión de accesos electrónicos. Han desarrollado más de 40.000 proyectos y disponen de 40 oficinas por todo el mundo.
RAMONDIN,Oyon,42.497.221,-2.493.542,"Líderes en diseño y fabricación de cápsulas de estaño y aluminio para el sector de la alimentación, especialmente para cierres de calidad en botellas de licor, vino y champán."
LITALSA,Oyon,42.500.630,-2.431.670,"Especializada en la impresión y barnizado de hojalata para la industria del envase metálico. Trabaja para marcas tan importantes como Coca Cola, Heineken, Starbucks, Nestlé o Carolina Herrera."
